
Time: 0
Waiting clients: (123,10,4)(296,10,6)(354,10,5)(419,10,6)(644,10,4)(895,10,3)(995,10,3)(135,11,4)(178,11,4)(407,11,6)(595,11,7)(619,11,5)(650,11,6)(677,11,8)(692,11,3)(717,11,7)(905,11,5)(998,11,5)(56,12,4)(179,12,4)(208,12,7)(270,12,8)(488,12,6)(526,12,8)(531,12,7)(639,12,7)(752,12,8)(939,12,7)(15,13,7)(21,13,3)(98,13,6)(199,13,3)(242,13,8)(248,13,7)(266,13,8)(274,13,7)(299,13,3)(552,13,7)(626,13,8)(646,13,8)(919,13,5)(130,14,7)(196,14,6)(215,14,6)(290,14,8)(308,14,3)(357,14,6)(493,14,6)(575,14,4)(682,14,7)(705,14,4)(707,14,7)(778,14,4)(789,14,4)(827,14,7)(838,14,8)(887,14,7)(909,14,5)(91,15,4)(156,15,8)(184,15,4)(221,15,3)(232,15,8)(257,15,5)(280,15,5)(320,15,3)(352,15,8)(366,15,7)(687,15,5)(716,15,7)(891,15,5)(977,15,5)(986,15,5)(999,15,7)(8,16,3)(202,16,7)(233,16,6)(302,16,6)(328,16,5)(543,16,8)(555,16,5)(624,16,7)(730,16,7)(878,16,8)(10,17,5)(231,17,7)(351,17,6)(385,17,6)(405,17,5)(408,17,3)(418,17,6)(506,17,4)(530,17,3)(675,17,3)(679,17,3)(706,17,5)(14,18,7)(150,18,3)(226,18,5)(379,18,3)(381,18,5)(409,18,5)(549,18,3)(609,18,4)(762,18,5)(780,18,5)(858,18,5)(24,19,3)(48,19,3)(97,19,7)(163,19,6)(368,19,5)(450,19,3)(465,19,5)(517,19,6)(634,19,5)(640,19,7)(794,19,4)(825,19,5)(917,19,4)(980,19,8)(113,20,8)(145,20,3)(240,20,4)(279,20,7)(313,20,7)(518,20,5)(563,20,6)(567,20,7)(620,20,6)(945,20,7)(95,21,7)(134,21,5)(147,21,4)(329,21,7)(335,21,7)(398,21,4)(441,21,3)(532,21,8)(610,21,6)(724,21,6)(857,21,6)(59,22,4)(114,22,7)(389,22,6)(427,22,4)(429,22,5)(813,22,8)(823,22,8)(898,22,8)(981,22,4)(62,23,4)(220,23,5)(241,23,7)(370,23,8)(447,23,6)(463,23,4)(641,23,6)(772,23,8)(952,23,3)(79,24,6)(108,24,8)(181,24,6)(275,24,8)(502,24,6)(643,24,4)(649,24,3)(739,24,7)(787,24,8)(949,24,8)(961,24,3)(53,25,7)(76,25,8)(164,25,6)(175,25,5)(439,25,8)(443,25,8)(456,25,8)(732,25,7)(851,25,8)(938,25,5)(994,25,4)(128,26,6)(243,26,6)(350,26,5)(362,26,4)(653,26,8)(798,26,6)(872,26,5)(957,26,5)(3,27,5)(210,27,4)(211,27,8)(260,27,8)(310,27,6)(331,27,5)(719,27,8)(783,27,7)(800,27,5)(42,28,5)(428,28,4)(434,28,5)(513,28,8)(801,28,6)(913,28,6)(963,28,3)(0,29,8)(12,29,3)(55,29,3)(63,29,4)(125,29,7)(132,29,6)(205,29,4)(219,29,7)(373,29,4)(546,29,3)(617,29,3)(655,29,7)(843,29,6)(890,29,5)(943,29,7)(971,29,4)(9,30,3)(27,30,5)(169,30,6)(433,30,7)(455,30,6)(524,30,4)(663,30,3)(755,30,8)(766,30,4)(781,30,8)(784,30,5)(839,30,5)(892,30,4)(142,31,3)(327,31,3)(380,31,8)(614,31,3)(666,31,5)(797,31,8)(914,31,5)(69,32,8)(160,32,3)(162,32,7)(326,32,3)(375,32,8)(566,32,5)(953,32,4)(996,32,8)(29,33,3)(225,33,5)(268,33,7)(459,33,7)(520,33,3)(776,33,5)(788,33,3)(819,33,7)(165,34,6)(525,34,7)(533,34,3)(802,34,6)(907,34,7)(927,34,4)(61,35,6)(133,35,4)(155,35,3)(374,35,8)(390,35,7)(592,35,4)(598,35,8)(636,35,5)(782,35,3)(805,35,3)(880,35,3)(960,35,3)(65,36,4)(180,36,8)(247,36,4)(263,36,6)(273,36,5)(421,36,4)(534,36,5)(562,36,7)(897,36,5)(942,36,5)(47,37,8)(92,37,5)(258,37,7)(300,37,4)(662,37,5)(683,37,4)(867,37,3)(964,37,3)(58,38,5)(111,38,3)(127,38,6)(264,38,5)(440,38,5)(511,38,5)(528,38,6)(573,38,8)(824,38,6)(921,38,3)(926,38,8)(45,39,8)(64,39,8)(170,39,3)(191,39,4)(193,39,5)(213,39,7)(239,39,7)(252,39,4)(490,39,5)(539,39,5)(586,39,8)(36,40,8)(137,40,4)(209,40,4)(224,40,8)(309,40,8)(343,40,7)(400,40,8)(471,40,7)(521,40,4)(676,40,8)(793,40,3)(22,41,7)(173,41,3)(245,41,3)(276,41,5)(287,41,3)(322,41,5)(553,41,6)(601,41,6)(625,41,8)(702,41,5)(736,41,7)(745,41,8)(770,41,7)(849,41,4)(861,41,4)(869,41,8)(951,41,3)(39,42,3)(628,42,4)(654,42,7)(765,42,7)(799,42,5)(948,42,6)(990,42,4)(51,43,6)(89,43,5)(149,43,7)(182,43,6)(629,43,3)(665,43,3)(686,43,3)(715,43,6)(744,43,5)(760,43,8)(790,43,5)(836,43,4)(877,43,7)(30,44,7)(43,44,8)(82,44,8)(197,44,3)(681,44,5)(721,44,6)(754,44,8)(821,44,3)(840,44,4)(910,44,5)(934,44,8)(976,44,4)(78,45,8)(81,45,3)(120,45,3)(249,45,7)(359,45,4)(377,45,7)(458,45,6)(491,45,8)(648,45,5)(708,45,7)(712,45,7)(735,45,5)(791,45,4)(944,45,7)(11,46,3)(122,46,3)(246,46,5)(304,46,7)(317,46,6)(345,46,5)(392,46,7)(420,46,5)(651,46,7)(691,46,8)(723,46,4)(941,46,8)(7,47,3)(17,47,4)(19,47,5)(72,47,3)(85,47,6)(121,47,3)(365,47,8)(395,47,8)(477,47,8)(480,47,8)(483,47,6)(523,47,4)(652,47,4)(678,47,3)(769,47,8)(844,47,6)(848,47,3)(876,47,3)(973,47,3)(144,48,5)(168,48,8)(255,48,3)(722,48,7)(979,48,4)(282,49,7)(436,49,5)(535,49,3)(588,49,3)(638,49,7)(841,49,8)(881,49,4)(886,49,6)(894,49,5)(67,50,3)(110,50,3)(118,50,7)(214,50,7)(227,50,3)(295,50,7)(391,50,7)(505,50,8)(570,50,4)(637,50,7)(673,50,3)(690,50,5)(694,50,8)(699,50,7)(748,50,4)(761,50,8)(859,50,4)(916,50,8)(984,50,3)(991,50,7)(23,51,8)(60,51,6)(475,51,7)(500,51,3)(540,51,7)(627,51,3)(810,51,7)(847,51,5)(932,51,6)(37,52,6)(46,52,5)(148,52,4)(272,52,5)(323,52,7)(344,52,5)(384,52,8)(444,52,6)(489,52,7)(589,52,5)(718,52,7)(804,52,7)(812,52,7)(866,52,3)(41,53,8)(50,53,4)(143,53,7)(188,53,8)(237,53,3)(293,53,5)(321,53,4)(449,53,4)(467,53,5)(487,53,3)(519,53,5)(536,53,8)(564,53,5)(615,53,4)(684,53,3)(696,53,8)(741,53,4)(294,54,6)(337,54,6)(470,54,7)(485,54,4)(509,54,3)(703,54,4)(811,54,4)(918,54,3)(33,55,5)(75,55,7)(102,55,6)(119,55,4)(212,55,7)(383,55,8)(416,55,6)(484,55,3)(544,55,3)(693,55,3)(751,55,3)(835,55,8)(855,55,6)(262,56,4)(307,56,6)(369,56,6)(386,56,5)(397,56,8)(512,56,3)(671,56,3)(688,56,3)(786,56,6)(863,56,3)(101,57,4)(116,57,6)(167,57,7)(203,57,5)(281,57,8)(316,57,7)(332,57,5)(432,57,7)(647,57,4)(808,57,4)(958,57,5)(4,58,3)(207,58,4)(222,58,8)(254,58,7)(503,58,5)(577,58,7)(710,58,8)(738,58,5)(785,58,3)(929,58,4)(982,58,5)(34,59,5)(103,59,6)(286,59,4)(347,59,4)(355,59,6)(461,59,8)(479,59,4)(559,59,5)(560,59,7)(908,59,3)(83,60,3)(105,60,8)(288,60,6)(394,60,5)(413,60,3)(538,60,8)(618,60,8)(820,60,7)(846,60,8)(865,60,4)(889,60,3)(901,60,6)(946,60,4)(159,61,8)(216,61,3)(283,61,5)(356,61,6)(468,61,7)(499,61,4)(571,61,6)(635,61,4)(768,61,5)(809,61,5)(925,61,6)(16,62,4)(28,62,5)(498,62,5)(510,62,3)(515,62,6)(554,62,5)(584,62,3)(591,62,3)(645,62,3)(697,62,7)(753,62,5)(822,62,4)(868,62,8)(106,63,7)(670,63,5)(853,63,3)(854,63,6)(18,64,7)(77,64,4)(100,64,7)(153,64,6)(154,64,8)(333,64,8)(556,64,5)(899,64,8)(935,64,5)(975,64,6)(152,65,4)(172,65,8)(190,65,4)(200,65,8)(201,65,5)(311,65,7)(371,65,3)(401,65,6)(680,65,7)(701,65,5)(714,65,5)(743,65,5)(837,65,5)(852,65,8)(873,65,6)(904,65,6)(131,66,7)(358,66,4)(462,66,6)(579,66,8)(608,66,5)(759,66,5)(35,67,6)(66,67,5)(86,67,4)(206,67,3)(481,67,4)(529,67,6)(711,67,5)(728,67,7)(729,67,7)(842,67,5)(90,68,6)(117,68,3)(138,68,6)(305,68,3)(325,68,3)(339,68,4)(349,68,6)(508,68,3)(642,68,3)(667,68,5)(740,68,6)(758,68,3)(792,68,6)(860,68,5)(988,68,7)(989,68,7)(80,69,4)(87,69,8)(278,69,5)(338,69,4)(406,69,3)(410,69,8)(527,69,7)(581,69,8)(612,69,7)(661,69,4)(870,69,5)(871,69,4)(13,70,6)(141,70,8)(192,70,4)(267,70,7)(378,70,6)(425,70,5)(541,70,7)(698,70,3)(937,70,8)(2,71,3)(93,71,5)(94,71,5)(315,71,7)(466,71,8)(472,71,3)(486,71,6)(568,71,4)(574,71,5)(725,71,4)(734,71,6)(749,71,8)(997,71,6)(367,72,5)(424,72,6)(426,72,7)(537,72,7)(632,72,7)(658,72,6)(659,72,8)(933,72,6)(139,73,6)(158,73,8)(303,73,7)(415,73,4)(507,73,5)(514,73,7)(669,73,7)(672,73,8)(773,73,7)(896,73,7)(906,73,5)(49,74,5)(70,74,8)(109,74,4)(218,74,4)(292,74,3)(353,74,3)(414,74,6)(501,74,5)(569,74,6)(572,74,4)(885,74,3)(920,74,5)(972,74,3)(20,75,3)(54,75,3)(84,75,4)(334,75,3)(469,75,8)(587,75,3)(695,75,7)(777,75,4)(779,75,8)(930,75,6)(112,76,3)(228,76,6)(301,76,7)(464,76,8)(756,76,6)(831,76,8)(845,76,3)(879,76,7)(922,76,7)(40,77,7)(435,77,4)(482,77,8)(704,77,7)(807,77,5)(815,77,6)(856,77,3)(5,78,6)(174,78,3)(217,78,8)(223,78,7)(442,78,3)(448,78,4)(473,78,6)(585,78,6)(742,78,3)(747,78,3)(924,78,7)(955,78,8)(194,79,4)(236,79,3)(340,79,3)(376,79,8)(437,79,4)(445,79,7)(495,79,6)(542,79,3)(599,79,3)(603,79,8)(727,79,5)(923,79,3)(956,79,8)(962,79,3)(44,80,4)(68,80,5)(115,80,8)(124,80,6)(177,80,3)(396,80,8)(551,80,5)(593,80,5)(864,80,3)(882,80,5)(936,80,6)(983,80,6)(319,81,8)(496,81,4)(516,81,6)(565,81,3)(606,81,6)(622,81,4)(757,81,6)(764,81,6)(947,81,5)(965,81,3)(32,82,4)(71,82,6)(136,82,7)(244,82,7)(412,82,4)(454,82,3)(492,82,3)(689,82,7)(806,82,5)(883,82,5)(992,82,3)(96,83,8)(250,83,4)(306,83,4)(364,83,8)(597,83,5)(685,83,4)(750,83,4)(796,83,8)(884,83,3)(985,83,5)(166,84,6)(186,84,4)(234,84,4)(261,84,5)(372,84,6)(522,84,5)(582,84,3)(602,84,8)(605,84,7)(613,84,6)(660,84,5)(774,84,7)(833,84,5)(862,84,5)(911,84,8)(912,84,8)(171,85,3)(336,85,7)(451,85,7)(460,85,6)(497,85,7)(596,85,6)(657,85,5)(713,85,8)(57,86,7)(189,86,3)(271,86,7)(314,86,8)(478,86,7)(494,86,4)(547,86,3)(590,86,5)(600,86,5)(616,86,4)(668,86,6)(674,86,7)(700,86,3)(731,86,7)(817,86,5)(826,86,7)(850,86,3)(993,86,6)(151,87,5)(204,87,7)(289,87,3)(318,87,3)(330,87,7)(382,87,4)(580,87,6)(767,87,4)(902,87,6)(6,88,8)(25,88,8)(26,88,5)(73,88,3)(259,88,4)(285,88,8)(399,88,7)(816,88,7)(969,88,6)(974,88,3)(52,89,8)(253,89,5)(341,89,4)(348,89,5)(430,89,5)(548,89,4)(558,89,6)(874,89,4)(176,90,3)(230,90,6)(277,90,5)(361,90,5)(404,90,3)(411,90,5)(453,90,3)(457,90,3)(504,90,4)(561,90,5)(631,90,7)(656,90,3)(795,90,7)(987,90,3)(284,91,3)(423,91,3)(550,91,6)(900,91,6)(968,91,3)(104,92,8)(157,92,8)(183,92,8)(312,92,5)(342,92,8)(403,92,3)(576,92,3)(583,92,6)(611,92,6)(733,92,8)(771,92,4)(832,92,8)(928,92,5)(1,93,5)(107,93,5)(265,93,6)(297,93,3)(298,93,7)(446,93,3)(709,93,6)(775,93,6)(803,93,8)(834,93,4)(970,93,8)(88,94,4)(235,94,6)(291,94,7)(402,94,4)(417,94,3)(438,94,7)(545,94,6)(763,94,4)(875,94,3)(903,94,5)(940,94,5)(966,94,4)(978,94,5)(31,95,6)(161,95,8)(422,95,5)(474,95,4)(476,95,5)(557,95,7)(594,95,7)(604,95,5)(828,95,7)(893,95,3)(954,95,4)(129,96,7)(256,96,8)(324,96,7)(607,96,4)(621,96,7)(664,96,7)(746,96,5)(818,96,6)(38,97,5)(146,97,8)(185,97,6)(229,97,4)(238,97,5)(346,97,6)(360,97,7)(431,97,6)(452,97,6)(578,97,6)(630,97,5)(829,97,6)(830,97,7)(888,97,8)(931,97,5)(74,98,6)(140,98,5)(187,98,7)(198,98,7)(269,98,5)(363,98,6)(387,98,6)(388,98,4)(623,98,6)(633,98,4)(720,98,3)(814,98,6)(915,98,5)(950,98,7)(967,98,8)(99,99,5)(126,99,6)(195,99,8)(251,99,4)(393,99,5)(726,99,3)(737,99,4)(959,99,7)
Queue 0: closed
Queue 1: closed
Queue 2: closed
Queue 3: closed
Queue 4: closed
Queue 5: closed
Queue 6: closed
Queue 7: closed
Queue 8: closed
